FECHA,LOM,TEC,DIC,MCM,TLA,XAL,EDL,IBM,NEZ,MON,EAJ,AJU,MPA,SNT,COR,LAA
07/01/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
14/01/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
21/01/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
28/01/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
04/02/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
11/02/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18/02/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
25/02/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
04/03/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
11/03/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
18/03/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
25/03/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
01/04/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
08/04/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
15/04/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
22/04/2019,6.08,8.48,19.93,11,8.37,4.42,5.98,4.61,2.03,-99,9.99,8.56,-99,6.37,-99,2.77
29/04/2019,3.14,-99,3.17,-99,3.21,-99,1.52,-99,-99,-99,1.56,2.16,4.05,2.26,2.65,-99
06/05/2019,-99,-99,-99,1.48,-99,-99,-99,-99,-99,-99,-99,-99,5.65,-99,4.15,-99
13/05/2019,6.54,3.26,4.84,6.67,4.44,6.57,2.52,6.09,5.34,3.33,3.62,6.13,1.33,2.22,1.38,4.29
20/05/2019,3.82,12.4,3.77,4.58,5.29,-99,2.25,4.42,2.82,2.64,2.99,1.45,2.36,1.79,3.34,3.04
27/05/2019,2.7,3.48,3.66,1.6,-99,1.37,3.22,3.32,2.23,0.63,2.18,1.45,0.38,1.7,0.64,3.02
03/06/2019,0.16,-99,0.28,0.54,1.16,0.47,0.04,0.7,0.26,0.04,0.13,0.16,0.02,0.05,0.35,0.56
10/06/2019,-99,-99,1.25,2.78,0.28,0.64,2.24,0.75,0.7,-99,1.59,1.75,0.78,0.66,1.41,0.82
17/06/2019,0.47,1.59,0.69,0.55,1.25,0.27,0.26,1.33,0.39,0.45,0.88,0.79,0.04,0.31,0.3,0.39
24/06/2019,1.78,0.88,1.36,1.58,2.23,0.7,0.98,1.9,0.66,0.34,1.15,0.72,0.42,-99,0.75,0.85
01/07/2019,1.13,1.57,1.16,1.96,1.63,1.58,0.6,1.69,2.2,1.33,1.32,0.6,0.94,0.55,0.6,0.52
08/07/2019,-99,0.62,0.76,0.63,0.83,1.2,0.55,1.02,0.44,0.39,0.96,0.15,1.58,0.49,0.97,0.75
15/07/2019,0.31,0.54,0.47,0.58,0.64,0.93,0.57,0.55,0.45,0.58,0.42,0.96,0.44,0.36,0.65,0.58
22/07/2019,0.61,0.63,-99,0.59,0.77,0.56,0.19,0.54,0.6,0.56,0.06,0.05,0.6,0.16,0.61,0.83
29/07/2019,0.87,1.84,-99,0.12,0.71,0.86,0.57,0.43,0.31,-99,1.03,0.4,0.05,0.83,0.3,0.51
05/08/2019,0.49,0.36,0.2,0.6,0.63,0.66,0.35,0.6,0.2,-99,0.16,0.18,0.36,0.19,0.59,0.31
12/08/2019,0.63,-99,1.18,-99,-99,-99,0.84,1.13,1.61,-99,0.5,0.63,-99,0.45,-99,-99
19/08/2019,0.74,1.72,0.47,1.58,0.54,6,0.03,0.94,1.02,-99,0.25,0.13,0.22,0.08,1.06,0.89
26/08/2019,1.88,-99,1.08,-99,1.81,-99,1.26,-99,-99,0.86,0.46,1,-99,0.58,-99,1.86
02/09/2019,1.45,0.89,2.24,1.1,-99,4.32,1.24,2.67,-99,1.52,1.33,0.93,0.71,1.78,1.35,0.84
09/09/2019,0.77,0.2,1.56,0.57,1.43,0.67,0.64,0.91,0.58,0.96,0.94,0.42,0.32,0.96,-99,0.74
16/09/2019,0.7,5.39,0.44,0.7,0.43,2.16,0.24,0.38,0.82,0.46,0.34,0.15,0.86,0.23,0.91,0.79
23/09/2019,0.59,0.28,0.85,0.46,1.34,0.59,0.34,0.55,0.36,0.28,0.91,0.33,0.38,-99,0.41,0.3
30/09/2019,0.13,-99,0.61,1.39,-99,-99,0.44,0.51,-99,-99,0.48,0.41,1.03,0.51,-99,-99
07/10/2019,-99,1.76,3.27,1.2,1.92,1.61,1.12,3.53,0.65,1.13,1.46,-99,0.54,1.99,0.52,-99
14/10/2019,1.22,0.53,0.55,0.73,-99,0.65,0.23,0.58,0.5,0.82,0.43,0.31,0.75,0.39,0.56,0.61
21/10/2019,0.15,0.37,0.61,0.54,1.22,-99,0.22,0.28,0.48,0.56,0.6,0.22,0.07,0.51,0.15,0.38
28/10/2019,0.72,-99,0.44,1.32,0.98,1.27,0.07,0.94,1.52,0.9,0.27,0.26,0.61,0.19,0.44,0.83
04/11/2019,1.97,-99,2.81,-99,-99,-99,0.8,1.52,-99,2.36,2.92,0.3,-99,2,-99,-99
11/11/2019,-99,-99,3.68,-99,-99,-99,3.64,-99,-99,-99,-99,-99,-99,-99,-99,-99
18/11/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
25/11/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
02/12/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
09/12/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
16/12/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
23/12/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
30/12/2019,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
